candidate_id,rank,score,reasoning
CAND_0000031,1,33.0545,"Strong fit for Senior AI Engineer: career evidence in recommendation systems, recommendation systems shows production deployment experience Open to work; responsive to recruiters; willing to relocate. Note: unrealistic skill duration vs experience."
CAND_0000001,2,30.2548,"Relevant technical skills (TTS, Speech Recognition) align with retrieval/ranking JD shows owned deployment experience Open to work."
CAND_0000014,3,25.1684,"Relevant technical skills (OpenSearch, FAISS) align with retrieval/ranking JD shows production deployment experience Responsive to recruiters."
CAND_0000023,4,23.8000,"Relevant technical skills (Node.js, Rust) align with retrieval/ranking JD shows production deployment experience Responsive to recruiters."
CAND_0000046,5,23.7500,"Relevant technical skills (Scrum, SAP) align with retrieval/ranking JD shows owned deployment experience Willing to relocate."
CAND_0000020,6,23.1120,"Relevant technical skills (Weights & Biases, HTML) align with retrieval/ranking JD shows production deployment experience Responsive to recruiters."
CAND_0000035,7,22.5612,"Relevant technical skills (BentoML, Next.js) align with retrieval/ranking JD demonstrates hands-on engineering in career history"
CAND_0000038,8,22.3812,"Relevant technical skills (Weaviate, Azure) align with retrieval/ranking JD demonstrates hands-on engineering in career history Open to work; willing to relocate."
CAND_0000007,9,22.2500,"Relevant technical skills (MongoDB, Sales) align with retrieval/ranking JD shows production deployment experience Responsive to recruiters; willing to relocate."
CAND_0000043,10,22.1484,"Relevant technical skills (Elasticsearch, OpenCV) align with retrieval/ranking JD shows production deployment experience Willing to relocate."
CAND_0000044,11,18.4301,"Relevant technical skills (dbt, Python) align with retrieval/ranking JD demonstrates hands-on engineering in career history Responsive to recruiters."
CAND_0000027,12,17.4334,"Relevant technical skills (PEFT, Weights & Biases) align with retrieval/ranking JD demonstrates hands-on engineering in career history Open to work; responsive to recruiters."
CAND_0000042,13,16.2458,"Relevant technical skills (Marketing, YOLO) align with retrieval/ranking JD shows production deployment experience Responsive to recruiters; willing to relocate. Current title (HR Manager) is non-engineering; ranked lower despite skill keywords."
CAND_0000010,14,16.2346,"Relevant technical skills (GANs, Object Detection) align with retrieval/ranking JD shows shipped deployment experience"
CAND_0000048,15,16.2189,"Relevant technical skills (Terraform, Content Writing) align with retrieval/ranking JD shows production deployment experience Open to work; responsive to recruiters."
CAND_0000025,16,15.5000,"Relevant technical skills (LangChain, JavaScript) align with retrieval/ranking JD shows production deployment experience Open to work; responsive to recruiters."
CAND_0000024,17,15.3534,"Relevant technical skills (Forecasting, ETL) align with retrieval/ranking JD shows production deployment experience Responsive to recruiters; willing to relocate. Current title (HR Manager) is non-engineering; ranked lower despite skill keywords."
CAND_0000018,18,14.0000,"Relevant technical skills (CNN, Java) align with retrieval/ranking JD shows production deployment experience"
CAND_0000015,19,13.4378,"Relevant technical skills (Sales, Qdrant) align with retrieval/ranking JD shows production deployment experience Open to work. Note: salary range inconsistency."
CAND_0000040,20,12.4000,"Relevant technical skills (Spring Boot, Accounting) align with retrieval/ranking JD shows owned deployment experience"
CAND_0000049,21,11.7500,"Relevant technical skills (GraphQL, Kubernetes) align with retrieval/ranking JD shows owned deployment experience Responsive to recruiters."
CAND_0000005,22,11.3494,"Relevant technical skills (Image Classification, Tailwind) align with retrieval/ranking JD shows owned deployment experience Open to work; willing to relocate. Current title (Accountant) is non-engineering; ranked lower despite skill keywords."
CAND_0000033,23,10.7500,"Relevant technical skills (TypeScript, Content Writing) align with retrieval/ranking JD shows owned deployment experience Open to work. Current title (Graphic Designer) is non-engineering; ranked lower despite skill keywords."
CAND_0000006,24,9.7500,"Relevant technical skills (SEO, Sales) align with retrieval/ranking JD shows owned deployment experience Willing to relocate. Current title (Business Analyst) is non-engineering; ranked lower despite skill keywords."
CAND_0000016,25,9.7500,"Relevant technical skills (Kubeflow, SQL) align with retrieval/ranking JD shows production deployment experience Open to work; responsive to recruiters. Current title (Accountant) is non-engineering; ranked lower despite skill keywords."
CAND_0000028,26,9.0000,"Relevant technical skills (Photoshop, Terraform) align with retrieval/ranking JD shows production deployment experience Willing to relocate. Current title (Operations Manager) is non-engineering; ranked lower despite skill keywords."
CAND_0000045,27,9.0000,"Relevant technical skills (Redux, SAP) align with retrieval/ranking JD shows production deployment experience Open to work; responsive to recruiters; willing to relocate. Current title (Project Manager) is non-engineering; ranked lower despite skill keywords."
CAND_0000004,28,8.9632,"Relevant technical skills (JavaScript, Airflow) align with retrieval/ranking JD shows production deployment experience Willing to relocate. Current title (Marketing Manager) is non-engineering; ranked lower despite skill keywords."
CAND_0000003,29,8.4000,"Relevant technical skills (Angular, Excel) align with retrieval/ranking JD"
CAND_0000029,30,8.2500,"Relevant technical skills (Tailwind, Spring Boot) align with retrieval/ranking JD shows production deployment experience Current title (Business Analyst) is non-engineering; ranked lower despite skill keywords."
CAND_0000041,31,8.0000,"Relevant technical skills (React, Airflow) align with retrieval/ranking JD shows production deployment experience Open to work; willing to relocate. Current title (Operations Manager) is non-engineering; ranked lower despite skill keywords."
CAND_0000002,32,7.8377,"Relevant technical skills (Project Management, Feature Engineering) align with retrieval/ranking JD shows production deployment experience Open to work. Current title (Operations Manager) is non-engineering; ranked lower despite skill keywords."
CAND_0000034,33,6.0253,"Relevant technical skills (Excel, Flask) align with retrieval/ranking JD shows production deployment experience Current title (Business Analyst) is non-engineering; ranked lower despite skill keywords."
CAND_0000032,34,5.8258,"Relevant technical skills (OpenCV, Speech Recognition) align with retrieval/ranking JD shows end-to-end deployment experience Responsive to recruiters; willing to relocate. Note: salary range inconsistency."
CAND_0000037,35,5.5595,"Relevant technical skills (Apache Beam, Tally) align with retrieval/ranking JD shows production deployment experience Responsive to recruiters. Current title (Business Analyst) is non-engineering; ranked lower despite skill keywords."
CAND_0000008,36,5.1500,"Relevant technical skills (TypeScript, Rust) align with retrieval/ranking JD shows owned deployment experience Current title (Operations Manager) is non-engineering; ranked lower despite skill keywords."
CAND_0000047,37,5.0000,"Relevant technical skills (SQL, Excel) align with retrieval/ranking JD shows owned deployment experience Current title (Project Manager) is non-engineering; ranked lower despite skill keywords."
CAND_0000050,38,3.5000,"Relevant technical skills (Feature Engineering, Excel) align with retrieval/ranking JD shows production deployment experience Current title (Business Analyst) is non-engineering; ranked lower despite skill keywords."
CAND_0000013,39,-0.1000,"Relevant technical skills (Flask, Redux) align with retrieval/ranking JD shows owned deployment experience Open to work. Note: salary range inconsistency."
CAND_0000009,40,-0.7500,"Relevant technical skills (OpenCV, Go) align with retrieval/ranking JD shows production deployment experience Responsive to recruiters. Note: salary range inconsistency."
CAND_0000011,41,-1.4245,"Relevant technical skills (Kubeflow, Recommendation Systems) align with retrieval/ranking JD shows production deployment experience Responsive to recruiters. Note: salary range inconsistency."
CAND_0000026,42,-1.7683,"Relevant technical skills (Kubeflow, Kubernetes) align with retrieval/ranking JD shows production deployment experience Responsive to recruiters. Note: salary range inconsistency. Current title (Graphic Designer) is non-engineering; ranked lower despite skill keywords."
CAND_0000022,43,-3.8002,"Relevant technical skills (Terraform, Scrum) align with retrieval/ranking JD shows production deployment experience Open to work. Note: salary range inconsistency."
CAND_0000030,44,-4.0188,"Relevant technical skills (Java, HTML) align with retrieval/ranking JD shows production deployment experience Responsive to recruiters. Note: salary range inconsistency. Current title (Marketing Manager) is non-engineering; ranked lower despite skill keywords."
CAND_0000039,45,-4.1500,"Relevant technical skills (Hadoop, Microservices) align with retrieval/ranking JD shows production deployment experience Responsive to recruiters; willing to relocate. Note: salary range inconsistency. Current title (Marketing Manager) is non-engineering; ranked lower despite skill keywords."
CAND_0000019,46,-6.5000,"Relevant technical skills (Figma, AWS) align with retrieval/ranking JD shows production deployment experience Note: salary range inconsistency. Current title (Project Manager) is non-engineering; ranked lower despite skill keywords."
CAND_0000036,47,-8.1250,"Relevant technical skills (Object Detection, Excel) align with retrieval/ranking JD shows production deployment experience Open to work. Note: salary range inconsistency. Current title (Project Manager) is non-engineering; ranked lower despite skill keywords."
CAND_0000012,48,-9.0000,"Relevant technical skills (AWS, dbt) align with retrieval/ranking JD shows owned deployment experience Note: salary range inconsistency. Current title (Operations Manager) is non-engineering; ranked lower despite skill keywords."
CAND_0000017,49,-10.0000,"Relevant technical skills (Tally, Java) align with retrieval/ranking JD shows production deployment experience Note: salary range inconsistency. Current title (Accountant) is non-engineering; ranked lower despite skill keywords."
CAND_0000021,50,-15.0772,"Relevant technical skills (Embeddings, Prompt Engineering) align with retrieval/ranking JD shows production deployment experience Willing to relocate. Note: non-technical title with expert AI skills. Current title (Project Manager) is non-engineering; ranked lower despite skill keywords."
